Reference	ID	Tags	Quote	Occurrence	Question	Response
12:1	zii1	meaning			Who also left Egypt along with the Israelites?	Some people from other nations who believed in God also left Egypt along with the Israelites (See: [12:1](12/01)).
12:1	stqt	application			Why do you think some people from other nations went with the Israelites from Egypt?	They would have seen all the plagues that God did to the Egyptians. Perhaps that is why they believed that Yahweh is God. They decided to follow him instead of the gods of Egypt.
12:2	seqv	meaning			How did God lead the Israelites?	God sent a tall pillar of cloud during the day. It became a pillar of fire at night. It went ahead of the Israelites to show them where to go. God was in this pillar (See: [12:2](12/02)).
12:3	bi43	meaning			Why did Pharaoh change his mind about letting the Israelites go?	God caused Pharaoh to change his mind so that he could show everyone that he is more powerful than Pharaoh and all the gods of Egypt (See: [12:3](12/03)).
12:3	jqgz	application			God had already forced Pharaoh to let the Israelites leave Egypt. Why did he make Pharaoh chase after them again?	Perhaps other nations would not know that God forced Pharaoh to let the Israelites go. God caused Pharaoh to chase after the Israelites so that he could completely destroy the Egyptians. In this way, people in every nation would hear about it and know that God was more powerful than Pharaoh and the gods of Egypt.
12:4	z1vs	meaning			Why were the Israelites afraid when they saw the Egyptian army coming?	They were trapped between the Egyptians and the Red Sea. They thought the Egyptians would kill them (See: [12:4](12/04)).
12:5	ap1h	application			Why did God lead the Israelites to the Red Sea where they would be trapped, instead of leading them around it?	God wanted to use the Red Sea to destroy the Egyptians and to show the Israelites how powerful he was. For this reason, God led them to the edge of the sea instead of around it.
12:6	b2qv	meaning			What did God do to protect the Israelites from the Egyptians?	God moved the pillar of cloud between the Israelites and the Egyptians so the Egyptians could not see the Israelites (See: [12:6](12/06)).
12:7	q8tg	meaning			What happened when Moses raised his hand over the sea?	God caused the wind to push the water to the left and to the right so that there was a path through the sea for the Israelites. The Israelites crossed the sea on dry ground (See: [12:7](12/07), [12:8](12/08)).
12:9-11	yo8d	meaning			What happened to the Egyptians when they followed the Israelites into the sea?	God caused the Egyptians to panic and their chariots to get stuck. Then he closed the water over the Egyptians so that they all drowned (See: [12:10](12/10), [12:11](12/11)).
12:10	pjha	application			Why were the Egyptians not able to immediately catch the Israelites before they finished crossing the sea?	There were so many Israelites that it would have taken a long time for them to all cross the sea. However, God placed the pillar of cloud behind them so the Egyptians could attack them as they were crossing the sea.
12:12	p2tu	meaning			What did the Israelites believe about Moses?	They believed that he was a prophet of God (See: [12:12](12/12)).
12:12-13	zu8s	application			What did the Israelites do when they realized the Egyptians were dead?	The Israelites rejoiced and worshiped God. They realized that he had save them from dying and from being slaves. They were very happy and decided to obey God. They continued to celebrate the festival of the Passover every year as God commanded them to do.
12:14	bfqn	meaning			How do the Israelites remember every year that God defeated the Egyptians?	Every year, the Israelites celebrate the festival of the Passover by killing and eating a lamb with unleavened bread (See: [12:14](12/14)).
12:1-14	h5c3	summary				The Israelites left Egypt to go to the Promised Land, along with people from other nations who saw what God did to the Egyptians and believed in him. But God was not finished with the Egyptians. He caused Pharaoh to change his mind and chase after the Israelites so he could destroy Pharaoh completely. He made a way for Israel to escape through the Red Sea. But he killed all the Egyptians when they tried to follow them. In this way, he showed the Israelites and all the other nations that he was more powerful than Pharaoh and the gods of Egypt. He also showed the Israelites that he would lead and protect them as they traveled to the Promised Land.
13:1	ne05	application			Why did God bring the people to Mount Sinai?	This was the place where God had spoken to Moses from the burning bush. He promised Moses that he would bring the people out of Egypt to worship him there. God kept that promise and led them to that same place.
13:2	w8s0	meaning			What did God say the Israelites would become if they kept his covenant with them?	They would become his prized possession, a kingdom of priests, and a holy nation (See: [13:2](13/02)).
13:2	ht10	application			Why did God say the Israelites would be a kingdom of priests?	Priests help other people worship God. They also teach people what God has said. All the people of Israel would be able to do these things for the other nations if they would obey God.
13:3	j2b1	meaning			What were the signs of God’s presence when he came down on the mountain?	There was thunder, lightning, smoke, and sounds of loud trumpets (See: [13:3](13/03)).
13:4	tqfy	meaning			What was the first command that God gave to the people?	God told them not to worship any other god (See: [13:4](13/04)).
13:5	nz7g	meaning			What were the Israelites supposed to do on the seventh day of the week?	They were supposed to keep the Sabbath day holy by resting and remembering God (See: [13:5](13/05)).
13:8	t8q1	meaning			Who was allowed to enter into the room in the Tent of Meeting where God was?	Only the high priest was allowed to go into that room (See: [13:8](13/08)).
13:9	kmxh	meaning			What would the blood from an animal sacrifice do to the sin of the person who brought the animal?	The blood of the animal would cover that person’s sin. He would become clean in God’s sight (See: [13:9](13/09)).
13:9	o341	application			Why do you think God said the blood of the sacrifice would cover a person’s sin?	The sin of the person would still be there, but it would be covered. God would look at the blood instead of their sin, and would consider that person to be clean before him.
13:10	sgfp	meaning			What would God do to the people if they did not obey his commandments?	God would punish them if they did not obey him (See: [13:7](13/07)).
13:10	z7oa	application			Why did God write the Ten Commandments on tablets of stone?	God wanted the people to always remember his commandments. Perhaps that is why he wrote them on hard stone tablets with his own hand, instead of on clay, wood, or paper.
13:11-12	vvji	meaning			Why did the people make an idol to worship?	Moses remained on the mountain for a long time, and the people grew tired of waiting for him. Therefore, they asked Aaron to make an idol for them to worship (See: [13:11](13/11)).
13:4,5,12	oe8l	application			Why was it especially evil that the people made an idol to worship?	The first and most important command God gave them was not to worship any other god.
13:13-14	ma0t	meaning			What did Moses do when he came down the mountain and saw the people worshiping the idol?	He smashed the two stone tablets on which God had written the Ten Commandments. He then destroyed the idol and made the people drink the dust of it in water (See: [13:13](13/13), [13:14](13/14)).
13:14	b9fw	application			What did God send on the people to punish them for worshiping the idol?	God send a plague on them, which killed many of them. In Egypt, God sent plagues on the Egyptians. Now, God punished his own people with a plague because they sinned.
13:15	tohz	meaning			Why did God forgive the people?	He forgave them because Moses prayed for them (See: [13:15](13/15)).
13:15	qo84	application			Why did God tell the Israelites to make a tent where he could meet them?	The Israelites were traveling to the Promised Land. They could not build a temple which would be in one place. Instead, God told them to make a special tent that they could move with them and set up when they stopped in a place.
13:1-15	dxuh	summary				God brought the Israelites to Mount Sinai just as he had promised Moses. He came down on the mountain with powerful signs and gave them the Ten Commandments and other laws to obey. He told them how to sacrifice to him, and how to meet him in the Tent of Meeting. But while Moses was still on the mountain with God, the people made an idol to worship. God was very angry and wanted to destroy them. Moses was also so angry that he smashed the Ten Commandments. But Moses prayed for the people and God forgave them.
14:2-3	ewb0	meaning			Why did God tell the people to get rid of the Canaanites completely?	The Canaanites worshiped idols and did many evil things. God knew that if the Israelites lived with the Canaanites, they would marry them and start to worship idols also (See: [14:2](14/02), [14:3](14/03)).
14:2-3	u81m	application			What had the people of Canaan become like since Joseph and his family left?	Joseph and his family had been in Egypt for 400 years. During that time, there was no one in Canaan who worshiped God. The people there had become very evil and worshiped many idols.
14:3	hvik	application			What often happens to people who live among people that worship other gods?	God said the Israelites would begin to worship the idols of the Canaanites if they lived with them. People normally begin to worship the gods of the people around them. This is especially true if they marry people who believe in other gods.
14:5	i9z0	meaning			What did ten of the spies say about the land and people of Canaan?	They said the land was good, but that the people were giants. They said the Israelites could not defeat them (See: [14:5](14/05)).
14:6	g37j	meaning			What did Joshua and Caleb say about the people of Canaan?	They said the people were indeed strong, but that God would fight for the Israelites so they could defeat the Canaanites (See: [14:6](14/06)).
14:6	o7zs	application			Why did Joshua give the people different advice than the other ten spies?	All 12 of the spies saw the same land and people. However, ten of the spies only thought about how hard it would be to defeat the people. But Joshua and Caleb thought about the good land and about how God would help them. They believed he would enable them to defeat the Canaanites even though they were tall and strong.
14:7	hlck	meaning			How did the people respond to the bad report of the ten spies?	They were angry that they had left Egypt. They wanted to choose a new leader to replace Moses and Aaron and to lead them back to Egypt (See: [14:7](14/07)).
14:7	o01p	application			Why did the people want to go back and be slaves in Egypt?	The people were very afraid that the Canaanites would kill them. They thought it would be better to be enslaved in Egypt than to be killed. They did not trust God to protect them.
14:8	ap3k	meaning			How did God answer the people when they wanted to go back to Egypt?	God was very angry with the people, and promised that they would wander in the wilderness until all the adults died. Only their children would enter into the Promised Land. Joshua and Caleb would also enter the land because they wanted to obey God (See: [14:8](14/08)).
14:9-10	q5q4	meaning			What did the people do when they heard that they would die in the wilderness?	They attacked the Canaanites, but the Canaanites defeated them (See: [14:9](14/09), [14:10](14/10)).
14:11-12	dmic	meaning			How did God take care of the people in the wilderness?	He gave them manna and quail to eat, and provided water for them. He also kept their clothes and sandals from wearing out for 40 years (See: [14:11](14/11), [14:12](14/12)).
14:12	kx6y	application			God made the Israelites wander in the wilderness for 40 years until all the adults died. Why did he take such good care of them during that time?	God was angry with the people who would not go into the Promised Land. But he kept his promise to Abraham to make his descendants into a great nation. Therefore, he continued to care for the Israelites in the wilderness, and for their children who would enter into the Promised Land after their parents would die.
14:13	m4x8	meaning			Why could Moses not enter the Promised Land?	God told Moses to speak to a rock so that it would give water to the people. But Moses disobeyed God and struck a rock with a stick instead. In this way, he dishonored God before the people. Therefore, God did not allow him to enter into the land. He went up to a high mountain and saw the land, and then he died (See: [14:13](14/13), [14:15](14/15)).
14:13	xwea	application			Why did God punish Moses so harshly for striking the rock?	Moses was the leader of Israel. He spoke to them for God. Because everyone watched what Moses did, God punished him harshly so the people would be afraid to disobey God. For this reason, Moses was not allowed to enter the Promised Land.
14:1-15	ucww	summary				God brought the people to the Promised Land, just as he said. But they were afraid of the Canaanites and refused to enter. Therefore, God made them wander for 40 years until all of the adults died. However, he cared for the people so that their children could enter the land. He kept his promise to Abraham. Moses saw the land, but could not enter because he had disobeyed God. Joshua became the leader of Israel after Moses died.
15:1	jt24	meaning			Why did the two spies promise to protect Rahab the prostitute and her family?	Rahab believed in God and helped the spies escape from Jericho (See: [15:1](15/01)).
15:1	qd4o	application			Rahab was a prostitute. But God accepted her and her entire family as part of Israel because she believed in God. What does that tell you about who God is?	God is willing to accept any person who believes in him. It does not matter how much they have sinned. He will accept them even if other people do not think they deserve honor.
15:2	sp5g	meaning			How did God enable the Israelites to cross the Jordan River?	He caused the water upstream to stop flowing so the Israelites could walk across the river on dry ground (See: [15:2](15/02)).
15:2	jymq	application			God made a dry path through the Jordan River for Joshua and the Israelites. What had God done for Moses that was similar?	God made a path through the Red Sea so Moses and the Israelites could escape the Egyptians. In a similar way, God made a path through the Jordan River for Joshua. Perhaps God wanted the Israelites to know that he would work through Joshua in the same powerful way as he worked through Moses.
15:3-5	z0o9	meaning			How did God make it possible for the Israelites able to defeat the city of Jericho?	They marched around Jericho, blew their trumpets, and shouted. When they did that, God caused the walls of the city to fall down so they could attack the people (See: [15:3](15/03), [15:4](15/04)).
15:3-4	j7o3	application			Would you expect the walls of a great city to fall down because a group of people marched around it and shouted?	This is not a normal way to attack a city with high walls. However, Joshua and all the Israelites obeyed God and did what he told them to do. As a result, God caused all the walls to fall down so they could destroy the city.
15:5	pzti	meaning			What happened to Rahab and her family when the Israelites destroyed Jericho?	Joshua spared Rahab and her family, and they became part of the Israelites (See: [15:5](15/05)).
15:6	i4wx	meaning			What did the Gibeonites do so that the Israelites would not destroy them?	They pretended to be from a country far away so the Israelites would make a peace treaty with them (See: [15:6](15/06)).
15:6	x656	application			Why do you think the Israelites did not ask God about the Gibeonites?	People often neglect to ask God for help unless they know they need him. Perhaps Joshua and the Israelites thought they could decide how to answer the Gibeonites without God’s help. Because they did not ask God, they made a terrible mistake. The Gibeonites deceived them, and the Israelites could not break their peace treaty with them.
15:7	a4rb	meaning			How did the Amorites respond when the Gibeonites made peace with the Israelites?	They joined their armies together to attack the Gibeonites (See: [15:7](15/07)).
15:9-10	wmbs	meaning			What were the two miracles that God did to help the Israelites defeat the Amorites?	God sent large hailstones to kill the Amorites, and made the sun stay in one place so the Israelites would have enough time to completely defeat them (See: [15:9](15/09), [15:10](15/10)).
15:9-10	hsvp	application			In what way did God show his power over creation when he helped the Israelites defeat the Amorites?	God controlled the weather so that hailstones fell from the sky to kill the Amorites. He also caused the sun in the sky to stand still in order to make the day longer. Only Yahweh, who created all things, is able to do this.
15:12	tib0	meaning			What did God give to each tribe after they finished fighting against the Canaanites?	He gave each tribe of Israel its own section of the Promised Land (See: [15:12](15/12)).
15:13	p7sj	meaning			When Joshua called the Israelites together, what did they promise to do?	They promised to be faithful to God and to obey his laws (See: [15:13](15/13)).
15:1-13	l2wa	summary				God led the Israelites into the Promised Land and helped them defeat all their enemies. He did this in a way that showed how powerful he is. He stopped the waters of the Jordan River. He knocked down the walls of Jericho. He caused hail to fall that was big enough to kill the Amorites. And he made the sun stand still to help Israel. When he accepted Rahab and her family, he also showed that he will accept anyone who believes in him. And he worked powerfully through Joshua to give Canaan to Israel. This showed that he kept his covenant with Abraham.
16:1	f10r	meaning			How did the Israelites disobey God?	They did not keep his laws, and they did not drive out the rest of the Canaanites from the land. Also, they began to worship Canaanite gods (See: [16:1](16/01)).
16:2	yda7	meaning			What pattern did the Israelites keep repeating?	They would disobey God, so he would punish them by allowing their enemies to defeat them. When the Israelites repented, God would send a deliverer to rescue them (See: [16:2](16/02)).
16:5	m6c7	meaning			Why was Gideon threshing grain in a hidden place?	He was afraid the Midianites would find his grain and steal it (See: [16:5](16/05)).
16:6	v43w	meaning			What was the first thing that God told Gideon to do?	God told him to tear down his father’s altar where his father worshiped an idol (See: [16:6](16/06)).
16:9	e1cx	meaning			What two signs did God give to Gideon to prove that he would defeat the Midianites?	God caused a sheepskin to be wet, but the ground around it to be dry. Then the next night, God caused the sheepskin to be dry, but the ground to be wet (See: [16:9](16/09)).
16:10	ibiw	meaning			What did God do when 32,000 men came to fight for Israel?	God had Gideon send most of them home. He kept only 300 soldiers (See: [16:10](16/10)).
16:12-13	gtls	meaning			How did Gideon’s 300 soldiers attack the Midianites?	They put torches in clay pots. Then they blew their horns and all broke the pots at the same time, showing the torches (See: [16:12](16/12), [16:13](16/13)).
16:14	kd0j	meaning			How did God help Gideon attack the Midianites?	God confused the Midianites so that they attacked and killed each other (See: [16:14](16/14)).
16:16	wpm2	meaning			What did the people do with the special garment that Gideon made out of gold?	The people began to worship it as an idol (See: [16:16](16/16)).
16:18	atec	meaning			Why did the people ask God to give them a king?	They wanted a king who was tall and strong, and who could lead them into battle against their enemies (See: [16:18](16/18)).
16:1-2	y84v	application			All of the Israelites did what they thought was right for themselves. Does this mean they obeyed God?	The Israelites did not think about God in the right way. Therefore, they thought it was right to worship idols even though God had told them to worship only him. In this way, they disobeyed God.
16:3	bpuu	application			How many times did God send a deliverer to rescue the Israelites when they repented of their sin?	Every time the Israelites repented of their sin and asked God to help them, he sent a deliverer to rescue them. This happened many times.
16:4	qzuv	application			Why did it take so long for the Israelites to ask God to save them from the Midianites?	The Midianites stole all of the Israelites’ crops for seven years before they asked God to save them. Perhaps they forgot that he could rescue them. Or perhaps they asked their idols to save them for seven years before they finally decided to ask God for help.
16:5-6, 8-9	o1fu	application			What are some of the ways that Gideon showed that he was not very brave?	Gideon was hiding from the Midianites as he threshed grain. He tore down his father’s altar at night because he was afraid of the people. God had to show him two signs to convince him to attack the Midianites. And God sent him to the Midianite camp to hear a soldier talk about his dream so Gideon would not be afraid. In spite of his fear, God used him to save Israel.
16:10	u07y	application			Why did God make Gideon send home all but 300 soldiers?	God wanted everyone to know that the Israelites defeated the Midianites because God helped them. He did not want them to think their own strength saved them. For that reason, he did not want Gideon to attack with a lot of soldiers.
16:18	pysl	application			Were the people thankful that God send deliverers to rescue them from their enemies?	The people were not happy that God only sent them deliverers. Instead, they wanted a king like all the other nations had.
16:1-18	ta0r	summary				God and the people did not change. The people always disobeyed God and worshiped idols. And God always punished them when they sinned and rescued them when they repented of their sin. This pattern happened to the Israelites many times. With great power, God helped Gideon to rescue them from the Midianites. But after that, they worshiped idols again. They would not obey God. They did not want God to be their king. Instead, they finally asked God to give them a king so they could be just like the other nations who worshiped idols.
17:1	wplc	meaning			What kind of a man was Saul?	Saul was tall and handsome, just like the people wanted. But he became a wicked man who did not obey God (See: [17:1](17/01)).
17:2	qsao	meaning			Who did God choose to become king after Saul?	God chose a young shepherd from Bethlehem. He was humble and righteous, and he trusted and obeyed God (See: [17:2](17/02)).
17:3	ibhs	meaning			Who was Goliath, whom David killed?	Goliath was a giant enemy soldier who was three meters tall (See: [17:3](17/03)).
17:4	kfiu	meaning			How did David prove to Saul that he was not trying to kill Saul?	David cut off a piece of Saul’s clothing in a cave. He could have killed Saul at that time, but he did not harm him. When Saul found out about it, he knew that David was not trying to kill him (See: [17:4](17/04)).
17:6	q0nl	meaning			What did David want to build for God?	David wanted to build a temple where the Israelites could worship God and bring him sacrifices (See: [17:6](17/06)).
17:7	hszq	meaning			How did God respond to David’s plan to build a temple?	God sent the prophet Nathan to tell David he would not be the one to build a temple. Instead, David’s son would build it (See: [17:7](17/07)).
17:8	ul1y	meaning			Who did God say would rule forever?	One of David’s descendants would rule forever. This person would be the Messiah. But the Messiah would not come for almost 1,000 years after David died (See: [17:8](17/08)).
17:10-12	z25u	meaning			How did David sin against God?	David slept with Bathsheba. Then he murdered her husband, Uriah, who was one of David’s best soldiers (See: [17:10](17/10), [17:11](17/11), [17:12](17/12)).
17:14	s62j	meaning			How did God punish David for his sin?	God caused Bathsheba’s baby to die. He also made David’s own family fight against him (See: [17:14](17/14)).
17:1-2	c0pf	application			In what ways was David different than Saul?	The people wanted Saul to be king because he was tall and handsome. But he was a wicked man. God chose David to be king because David was humble and trusted and obeyed God.
17:2	uh4x	application			How might David have learned to be the king of Israel while he was a shepherd?	While he was a shepherd, David learned to be brave and to protect his father’s sheep. As a young man, he even killed a bear and a lion when they attacked the sheep. Because of this, he was able to protect the Israelites against their enemies.
17:4	hlfd	application			Saul tried to kill David. Why did David not kill Saul when he found him in the cave?	David did not want to sin in order to be king. He chose to wait until the time when God would make him king. Therefore, he did not kill Saul. Instead, he trusted God to protect him from Saul.
17:7	iyyg	application			Why did God not allow David to build a temple?	David ruled Israel well, and God was pleased with David. God wanted David to be a good soldier for him. That was God’s plan for David. God wanted a different person to build a temple. David’s son would not be a soldier. He would be a builder. God would use him to build a temple. In this way, God would honor David by blessing his descendants.
17:7	yoig	application			What was the greatest blessing that God promised to David?	God promised David that one of his descendants would be the Messiah. He would rule over God’s people forever.
17:11-12	if0w	application			Why did David cause Uriah to be killed?	David tried to hide his sin by killing Uriah. If Uriah was dead, David thought no one would know the king was the father of Bathsheba’s baby.
17:13-14	fuvy	application			Why did God punish David after he repented?	God forgave David when he repented. But because David had dishonored God before the people, God had to punish him. David accepted that punishment and obeyed God.
17:1-14	fxde	summary				God chose David to be the king of Israel. He was a humble man who obeyed God. Therefore, God promised that David’s son would build God’s Temple and that one of David’s descendants would rule forever. He would be the Messiah, who would come 1,000 years later. After David sinned terribly, he repented and continued to obey God. Although God punished him for sinning, he still did everything he promised David he would do.
18:1	orry	meaning			What did Solomon ask God to do for him?	He asked God to make him very wise (See: [18:1](18/01)).
18:2	z0eq	meaning			Why did the people no longer offer sacrifices at the Tent of Meeting?	Solomon build the Temple for which David had planned and prepared. People now offered sacrifices and worshiped God there instead of at the Tent of Meeting (See: [18:2](18/02)).
18:3	yn6c	meaning			Solomon married almost 1,000 women. How did that cause Solomon to sin?	Many of the women Solomon married were foreign women. They brought their gods with them, and Solomon started to worship those false gods (See: [18:3](18/03)).
18:4	mzjn	meaning			How did God say he would punish Solomon for worshiping other gods?	God said he would punish Solomon by dividing the nation of Israel into two kingdoms after Solomon died (See: [18:4](18/04)).
18:5-6	m6u2	meaning			Why did the people rebel against Rehoboam?	They asked him to make them work less than Solomon did. Instead, Rehoboam said he would make them work harder. This made them angry, so they refused to serve him (See: [18:5](18/05), [18:6](18/06)).
18:7	msca	meaning			How many of the tribes of Israel remained with Rehoboam?	Only two of the 12 tribes remained with Rehoboam (See: [18:7](18/07)).
18:9	ekf1	meaning			What did Jeroboam make so the people would no longer go to Jerusalem to worship?	He made two idols for the people of the kingdom of Israel to worship (See: [18:9](18/09)).
18:11	ir8g	meaning			How many of the kings of the kingdom of Israel were evil?	All of the kings of the kingdom of Israel were evil (See: [18:11](18/11)).
18:13	ex33	meaning			Were most of the kings of Judah good or evil?	Some of the kings of Judah were good men, but most of them were evil. They ruled badly, worshiped idols, and even sacrificed their children to false gods (See: [18:13](18/13)).
18:1	rxyd	application			Why did it please God when Solomon asked God to make him wise?	Solomon did not ask for wealth for himself. Instead, he asked God to make him wise so that he could rule God’s people well. This pleased God, and so he also made him wealthy.
18:3-4	f70s	application			What problem happened because Solomon married women from foreign countries?	Many people from other countries believed in God, and he accepted them. Solomon was not wrong to marry foreign women. But he was wrong to marry foreign women who still served other gods. Those women continued to worship those false gods. And eventually, they caused Solomon to worship those idols as well. This made God very angry.
18:5-6	r7hw	application			Solomon was very wise. How was Rehoboam different than Solomon?	Unlike his father Solomon, Rehoboam, was very foolish. The people were willing to follow him if he would treat them well. But instead, he answered the people so harshly that most of the tribes of Israel refused to follow him.
18:9	nhn3	application			Why did Jeroboam build idols for his people to worship?	Jeroboam may have wanted to worship idols. But he also did not want his people to continue to go to Jerusalem to worship. Jerusalem was in the kingdom of Judah. Judah was now the enemy of the kingdom of Israel. Therefore, the main reason Jeroboam made the idols was so his people would stay away from the kingdom of Judah. They worshiped the idols in the kingdom of Israel instead.
18:13	giew	application			The kings of Judah were descendants of David. How is it that many of them were evil?	Even though David obeyed God, many of his children did not. Solomon obeyed God for a time, but then began to worship the idols of his foreign wives. Many of David’s other descendants also chose not to obey God. Each person had to decide for himself whether or not he would obey God.
18:1-13	qlfk	summary				Solomon began as a good and wise king who ruled Israel well. However, he married many women who worshiped foreign gods. Eventually, Solomon also began to worship these idols. God was angry with Solomon and decided to divide Israel into two kingdoms. Ten tribes followed Jeroboam and formed the kingdom of Israel. Jeroboam made idols so the people would not go to Jerusalem to worship Yahweh at the Temple. All the kings of the kingdom of Israel were evil. Two of the tribes formed the kingdom of Judah and chose descendants of David as their kings. However, many of their kings were also evil. Even though they were descendants of David, they refused to obey God. The two kingdoms fought against each other for many years.
19:2	eyte	meaning			Why did King Ahab try to kill the prophet Elijah?	Ahab was angry with Elijah because Elijah said there would be no rain in the kingdom of Israel. Elijah said this because Ahab and the people of the kingdom of Israel worshiped an idol named Baal (See: [19:2](19/02)).
19:3	u0lp	meaning			How did God provide for Elijah while he hid from Ahab at the stream?	God sent birds to bring Elijah bread and meat to eat while he hid from Ahab (See: [19:3](19/03)).
19:4	dhaz	meaning			How did God provide for Elijah while he lived with the widow and her son?	God caused the widow’s jar of flour and bottle of oil to never become empty. For about three years, there was always enough food for them to eat even though there was no other food in the land (See: [19:4](19/04)).
19:6	oo9t	meaning			What did Elijah tell the people to decide about when they came with the prophets of Baal to Mount Carmel?	Elijah told the people that they should stop changing their mind about God. If Yahweh is God, they should worship him, but if Baal is God, they should worship him instead (See: [19:6](19/06)).
19:7	bm60	meaning			How did Elijah say the people could tell whether Yahweh or Baal was the true God?	Elijah and the prophets of Baal would prepare a sacrifice on an altar. The people would know that the God who responded by sending fire onto the altar was the true God (See: [19:7](19/07)).
19:8	ydnb	meaning			What happened when the prophets of Baal asked Baal to send fire on the altar?	Nothing happened when they asked Baal to send fire (See: [19:8](19/08)).
19:11	sxy2	meaning			What happened when Elijah asked Yahweh to send fire on the altar?	Fire fell from the sky and burned up the altar and everything around it (See: [19:11](19/11)).
19:14-15	qicv	meaning			How did God heal Naaman of his skin disease?	Elisha told Naaman to dip himself in the Jordan River seven times. At first, he refused. But then he changed his mind and did what Elisha told him to do. God healed him as soon as he obeyed (See: [19:14](19/14), [19:15](19/15)).
19:17	lmh4	meaning			How did the people try to kill the prophet Jeremiah?	They put Jeremiah into a dry well and left him there to die. But later, the king sent his servants to pull him out (See: [19:17](19/17)).
19:18	l78e	meaning			How did the people usually respond to the prophets whom God sent to them?	The people did not believe what the prophets said. Instead, they hated the prophets and often tried to kill them. In spite of this, the prophets continued to speak to the people for God (See: [19:18](19/18)).
19:18	i13s	meaning			Who did the prophets remind the people that God promised to send to them?	The prophets reminded them that God would send the Messiah to them (See: [19:18](19/18)).
19:3-4	c5ri	application			How did the prophet Elijah survive during the drought and the famine that it caused?	When there was no rain in the kingdom of Israel, there was also very little food. During that time, God provided food for Elijah in special ways. For a while, he sent birds to bring food to Elijah. Then he caused the food of a poor widow to never end so she could feed Elijah. God took care of Elijah because Elijah obeyed God and spoke God’s messages to the people.
19:9	bbfg	application			Why did Elijah tell the people to pour water on his sacrifice?	Elijah told the people to pour water on his sacrifice in order to make it harder for it to burn. He wanted the people to know that Yahweh was truly the one who burned up the sacrifice. Therefore, he made the sacrifice so wet that only God could cause it to burn. He knew that nothing was too difficult for God.
19:14-15	lar5	application			Why did Naaman not go to the river immediately when Elisha told him to go?	Perhaps Naaman thought what Elisha told him to do was too simple to cure his disease. At first, he thought he would have to do something more difficult in order to be healed. However, when he did the easy thing Elisha told him to do, he was healed!
19:16	afsa	application			What did the prophets say the people must do so that God would not destroy them?	The prophets told the people they must repent. That is, they must change their mind about God and begin to think about him in a different way. They must understand that Yahweh is the true God and stop worshiping other gods. If they did not repent, God would destroy them because they sinned against him.
19:1-18	n82e	summary				God always sent prophets to tell the Israelites to worship only him. But the people hated the prophets and refused to listen to them. They served idols instead of Yahweh. They even tried to kill the prophets whom God sent to them. But the prophets continued to speak for God, and God continued to care for his prophets. The prophets warned the people to repent or God would punish them. Even so, God still promised that he would send the Messiah to them.
20:2-3	uils	meaning			What nation did God send to destroy the kingdom of Israel?	God sent the Assyrians to destroy the kingdom of Israel. The Assyrians were very cruel. They killed many of the Israelites and took the rest of them to Assyria (See: [20:2](20/02), [20:3](20/03)).
20:4	w6mw	meaning			Who did the Assyrians bring to live in the land of Israel?	The Assyrians brought foreigners to live in the land of Israel. These foreigners married the Israelites who were left in the land. Their descendants were called Samaritans (See: [20:4](20/04)).
20:5	ckh2	meaning			What did the people in the kingdom of Judah do when they saw how God had punished the kingdom of Israel?	The people in the kingdom of Judah continued to worship idols, including the gods of the Canaanites. They refused to believe the prophets whom God sent to warn them (See: [20:5](20/05)).
20:6	ae8b	meaning			What nation did God send to attack the kingdom of Judah?	God sent the Babylonians to attack the kingdom of Judah. As a result, the king of Judah promised to pay a lot of money each year to Nebuchadnezzar, the king of the Babylonians (See: [20:6](20/06)).
20:7-8	fnhc	meaning			What did Nebuchadnezzar do to the kingdom of Judah when they rebelled against him?	Nebuchadnezzar sent his army to destroy Jerusalem and the Temple. They took away all the treasures of the city. They also killed the king’s sons and made him blind. Then they led him away to Babylon (See: [20:7](20/07), [20:8](20/08)).
20:9	s179	meaning			Who remained in the land of Judah during the Exile?	The Exile is the time when many of the people of Judah were forced to go away to Babylon. During this time, Nebuchadnezzar left only the poorest people in the land (See: [20:9](20/09)).
20:10	kyfe	meaning			Did God forget his people after he punished them by sending them into exile?	God did not forget his people as they were away from the land. He continued to send his prophets to speak to them for him. He promised that they would return to the land after 70 years in Babylon (See: [20:10](20/10)).
20:12-13	rupt	meaning			How did the Jews return to the land of Judah?	God caused the Persians to defeat the Babylonians. Cyrus, the Persian king, allowed the Jews to return to Jerusalem. He gave them money to rebuild the Temple. Many of the Jews returned to Jerusalem. They also rebuilt the walls of the city (See: [20:12](20/12), [20:13](20/13)).
20:1-4	ps3a	application			Does it seem right that God would send the cruel, evil Assyrians to destroy his people?	God warned the kingdom of Israel that he would punish them, but they would not repent. Therefore, God sent the Assyrians to destroy them. Even though the Assyrians were a cruel people, God allowed them to defeat Israel in order to punish Israel. Later, however, he punished the Assyrians by allowing the Babylonians to defeat them.
20:5	ezju	application			Why do you think the people in the kingdom of Judah refused to repent after the Assyrians destroyed the kingdom of Israel?	People normally think they are not as bad as other people. Perhaps the people of the kingdom of Judah thought they were better than the people in the kingdom of Israel. They thought God would not punish them in the same way. But they were wrong. God sent his prophets to tell them that he would punish them if they did not repent. And he punished them just as he said that he would.
